building_id,building_name,city,building_type,ownership,year_built,gross_floor_area_m2,total_floors,estimated_occupancy,latitude,longitude,data_origin
BLD023,Hotel TP.HCM 023,TP.HCM,Hotel,Joint Venture,1999,50272.9,16,1061,10.747953,106.612841,SYNTHETIC_VN_REALISTIC
BLD024,Hospital Đà Nẵng 024,Đà Nẵng,Hospital,Joint Venture,2019,33084.4,12,1911,16.046326,108.275069,SYNTHETIC_VN_REALISTIC
BLD025,Hospital TP.HCM 025,TP.HCM,Hospital,Public,2014,40346.6,18,3441,10.808423,106.686404,SYNTHETIC_VN_REALISTIC
BLD026,Office Hải Phòng 026,Hải Phòng,Office,Public,2019,46295.6,30,3029,20.809354,106.702874,SYNTHETIC_VN_REALISTIC
BLD027,Hotel Cần Thơ 027,Cần Thơ,Hotel,Public,2011,63225.4,18,918,9.996999,105.765804,SYNTHETIC_VN_REALISTIC
BLD028,Retail Đà Nẵng 028,Đà Nẵng,Retail,State-owned,2003,32822.9,25,270,15.981971,108.272528,SYNTHETIC_VN_REALISTIC
BLD029,Mixed-use Hải Phòng 029,Hải Phòng,Mixed-use,Private,2026,15426.7,33,415,20.777264,106.761166,SYNTHETIC_VN_REALISTIC
BLD030,Mixed-use Hà Nội 030,Hà Nội,Mixed-use,Joint Venture,2026,17407.4,15,998,20.994088,105.901948,SYNTHETIC_VN_REALISTIC
BLD031,Hotel TP.HCM 031,TP.HCM,Hotel,Private,2014,21032.5,10,221,10.834397,106.640218,SYNTHETIC_VN_REALISTIC
BLD032,Retail Hà Nội 032,Hà Nội,Retail,Private,2024,47559.3,22,877,20.994406,105.801056,SYNTHETIC_VN_REALISTIC
BLD033,Hotel Hà Nội 033,Hà Nội,Hotel,Joint Venture,2014,25690.8,33,1840,20.994139,105.882335,SYNTHETIC_VN_REALISTIC
BLD034,Hotel Đà Nẵng 034,Đà Nẵng,Hotel,Public,2000,44427.6,19,1477,16.023777,108.240153,SYNTHETIC_VN_REALISTIC
BLD035,Administration Cần Thơ 035,Cần Thơ,Administration,State-owned,2012,19700.8,31,2664,10.057536,105.706814,SYNTHETIC_VN_REALISTIC
BLD036,Office Hà Nội 036,Hà Nội,Office,Private,2019,37954.4,22,189,21.068657,105.819157,SYNTHETIC_VN_REALISTIC
BLD037,Retail Hà Nội 037,Hà Nội,Retail,Private,2002,4855.7,19,1001,21.023275,105.885972,SYNTHETIC_VN_REALISTIC
BLD038,University Đà Nẵng 038,Đà Nẵng,University,Public,2023,28877.3,6,1919,15.987564,108.181855,SYNTHETIC_VN_REALISTIC
BLD039,Administration Cần Thơ 039,Cần Thơ,Administration,Joint Venture,1998,39240.2,24,1996,10.078513,105.675258,SYNTHETIC_VN_REALISTIC
BLD040,Hotel TP.HCM 040,TP.HCM,Hotel,Public,2005,12481.0,33,2495,10.784588,106.578468,SYNTHETIC_VN_REALISTIC
BLD041,University Hà Nội 041,Hà Nội,University,State-owned,2025,42114.9,27,2323,21.103202,105.831177,SYNTHETIC_VN_REALISTIC
BLD042,Office Hải Phòng 042,Hải Phòng,Office,Joint Venture,2005,50786.7,30,3119,20.836381,106.713544,SYNTHETIC_VN_REALISTIC
BLD043,Retail Hà Nội 043,Hà Nội,Retail,Joint Venture,2013,4467.5,12,430,21.108323,105.927679,SYNTHETIC_VN_REALISTIC
BLD044,Hotel Hải Phòng 044,Hải Phòng,Hotel,State-owned,2008,45151.8,24,2919,20.876705,106.699097,SYNTHETIC_VN_REALISTIC
BLD045,Office Hải Phòng 045,Hải Phòng,Office,Public,2018,38465.5,23,2396,20.817885,106.724867,SYNTHETIC_VN_REALISTIC
BLD046,Administration Cần Thơ 046,Cần Thơ,Administration,Private,2006,46378.5,17,2294,10.010078,105.804444,SYNTHETIC_VN_REALISTIC
BLD047,University Cần Thơ 047,Cần Thơ,University,Public,1998,6132.3,13,166,10.104106,105.80208,SYNTHETIC_VN_REALISTIC
BLD048,Hotel TP.HCM 048,TP.HCM,Hotel,Public,2018,4545.2,5,2419,10.788588,106.56742,SYNTHETIC_VN_REALISTIC
BLD049,Retail TP.HCM 049,TP.HCM,Retail,Public,2018,24544.6,10,3305,10.865762,106.592266,SYNTHETIC_VN_REALISTIC
BLD050,Hotel Đà Nẵng 050,Đà Nẵng,Hotel,Private,2002,52101.2,30,3126,16.112138,108.151948,SYNTHETIC_VN_REALISTIC
BLD051,University TP.HCM 051,TP.HCM,University,Public,2006,28428.8,33,591,10.746068,106.665269,SYNTHETIC_VN_REALISTIC
BLD052,Hotel Hải Phòng 052,Hải Phòng,Hotel,State-owned,2021,60755.6,6,2292,20.775198,106.618652,SYNTHETIC_VN_REALISTIC
BLD053,Administration Đà Nẵng 053,Đà Nẵng,Administration,Joint Venture,2026,63777.3,17,3071,15.994672,108.129368,SYNTHETIC_VN_REALISTIC
BLD054,Administration Đà Nẵng 054,Đà Nẵng,Administration,Joint Venture,1999,13457.3,34,2598,16.020568,108.204482,SYNTHETIC_VN_REALISTIC
BLD055,Hospital Cần Thơ 055,Cần Thơ,Hospital,Public,2022,15440.1,34,1866,10.124833,105.72595,SYNTHETIC_VN_REALISTIC
BLD056,Hotel Cần Thơ 056,Cần Thơ,Hotel,Private,2000,23867.7,20,2549,10.001149,105.803819,SYNTHETIC_VN_REALISTIC
BLD057,Office Hà Nội 057,Hà Nội,Office,Private,2008,24881.8,34,3248,20.991426,105.79357,SYNTHETIC_VN_REALISTIC
BLD058,Office Hải Phòng 058,Hải Phòng,Office,Public,2002,39447.2,24,3408,20.808806,106.656254,SYNTHETIC_VN_REALISTIC
BLD059,Office Đà Nẵng 059,Đà Nẵng,Office,Public,2001,6193.1,34,846,16.07697,108.163567,SYNTHETIC_VN_REALISTIC
BLD060,Mixed-use Đà Nẵng 060,Đà Nẵng,Mixed-use,Public,2004,39475.3,10,2308,16.029954,108.220444,SYNTHETIC_VN_REALISTIC
BLD061,Retail Cần Thơ 061,Cần Thơ,Retail,Joint Venture,2011,10222.1,18,1305,10.042355,105.69402,SYNTHETIC_VN_REALISTIC
BLD062,Administration Hải Phòng 062,Hải Phòng,Administration,Joint Venture,2008,56600.6,4,1146,20.893306,106.737961,SYNTHETIC_VN_REALISTIC
BLD063,Hotel Cần Thơ 063,Cần Thơ,Hotel,Private,2006,10790.8,35,741,9.979502,105.687101,SYNTHETIC_VN_REALISTIC
BLD064,Administration Cần Thơ 064,Cần Thơ,Administration,State-owned,1999,20713.8,19,3014,10.0478,105.786862,SYNTHETIC_VN_REALISTIC
BLD065,Mixed-use TP.HCM 065,TP.HCM,Mixed-use,Public,2022,22779.0,14,649,10.801395,106.589943,SYNTHETIC_VN_REALISTIC
BLD066,Office Hải Phòng 066,Hải Phòng,Office,State-owned,2022,48539.6,30,3060,20.914936,106.711046,SYNTHETIC_VN_REALISTIC
BLD067,Office Hà Nội 067,Hà Nội,Office,Public,2022,17674.7,26,693,21.006504,105.884986,SYNTHETIC_VN_REALISTIC
BLD068,Office Cần Thơ 068,Cần Thơ,Office,State-owned,2001,41960.4,34,2865,10.063508,105.760321,SYNTHETIC_VN_REALISTIC
BLD069,Retail Hà Nội 069,Hà Nội,Retail,Private,2016,52940.9,13,2116,20.980446,105.783647,SYNTHETIC_VN_REALISTIC
BLD070,Hospital Hà Nội 070,Hà Nội,Hospital,Private,2003,18009.0,7,3493,21.050514,105.803894,SYNTHETIC_VN_REALISTIC
BLD071,Hotel TP.HCM 071,TP.HCM,Hotel,State-owned,2006,57369.7,7,663,10.774338,106.640589,SYNTHETIC_VN_REALISTIC
BLD072,Administration Hà Nội 072,Hà Nội,Administration,Joint Venture,2021,22315.2,23,2865,20.981649,105.874274,SYNTHETIC_VN_REALISTIC
BLD073,Office Hà Nội 073,Hà Nội,Office,Public,2002,46464.2,5,2804,21.046671,105.855358,SYNTHETIC_VN_REALISTIC
BLD074,Office TP.HCM 074,TP.HCM,Office,Joint Venture,2014,48115.7,29,2286,10.763844,106.597656,SYNTHETIC_VN_REALISTIC
BLD075,Administration TP.HCM 075,TP.HCM,Administration,Joint Venture,2005,35455.5,32,1593,10.790345,106.690385,SYNTHETIC_VN_REALISTIC
BLD076,University Đà Nẵng 076,Đà Nẵng,University,Public,2006,9342.0,15,1523,16.093952,108.250265,SYNTHETIC_VN_REALISTIC
BLD077,Hotel TP.HCM 077,TP.HCM,Hotel,Private,2010,54718.1,26,3489,10.788208,106.663938,SYNTHETIC_VN_REALISTIC
BLD078,Hospital Hà Nội 078,Hà Nội,Hospital,Public,2010,3738.3,30,339,21.084761,105.781247,SYNTHETIC_VN_REALISTIC
BLD079,Hotel Cần Thơ 079,Cần Thơ,Hotel,State-owned,2019,10818.5,9,3320,10.1097,105.700932,SYNTHETIC_VN_REALISTIC
BLD080,University TP.HCM 080,TP.HCM,University,Private,2006,48859.6,18,2752,10.839394,106.682262,SYNTHETIC_VN_REALISTIC
BLD081,Hospital Cần Thơ 081,Cần Thơ,Hospital,State-owned,2026,52122.9,16,2411,10.061379,105.769536,SYNTHETIC_VN_REALISTIC
BLD082,Hotel Cần Thơ 082,Cần Thơ,Hotel,Public,2012,33511.9,8,2482,10.07011,105.752902,SYNTHETIC_VN_REALISTIC
BLD083,Mixed-use TP.HCM 083,TP.HCM,Mixed-use,Joint Venture,2004,22256.9,26,3301,10.760055,106.690345,SYNTHETIC_VN_REALISTIC
BLD084,Mixed-use Đà Nẵng 084,Đà Nẵng,Mixed-use,Private,2021,34386.4,28,3316,16.085947,108.187282,SYNTHETIC_VN_REALISTIC
BLD085,Administration TP.HCM 085,TP.HCM,Administration,State-owned,2020,5985.2,27,2253,10.89993,106.551787,SYNTHETIC_VN_REALISTIC
BLD086,Office Hà Nội 086,Hà Nội,Office,State-owned,2002,22346.9,23,389,20.966225,105.883083,SYNTHETIC_VN_REALISTIC
BLD087,Office Đà Nẵng 087,Đà Nẵng,Office,State-owned,2021,17981.1,9,779,16.10994,108.194645,SYNTHETIC_VN_REALISTIC
BLD088,Hotel Hà Nội 088,Hà Nội,Hotel,Private,2018,42634.2,10,2465,21.033183,105.845173,SYNTHETIC_VN_REALISTIC
BLD089,Hospital Hải Phòng 089,Hải Phòng,Hospital,Private,2003,12108.5,6,625,20.78422,106.644898,SYNTHETIC_VN_REALISTIC
BLD090,Retail Hải Phòng 090,Hải Phòng,Retail,Private,2017,31834.1,6,936,20.786799,106.73438,SYNTHETIC_VN_REALISTIC
BLD091,Hotel Hải Phòng 091,Hải Phòng,Hotel,Public,2024,23303.4,31,1601,20.83444,106.742589,SYNTHETIC_VN_REALISTIC
BLD092,Administration Hà Nội 092,Hà Nội,Administration,State-owned,2024,25133.9,5,3477,21.020221,105.869877,SYNTHETIC_VN_REALISTIC
BLD093,Mixed-use Đà Nẵng 093,Đà Nẵng,Mixed-use,Public,2019,30014.5,12,2347,15.994757,108.26195,SYNTHETIC_VN_REALISTIC
BLD094,Retail Cần Thơ 094,Cần Thơ,Retail,Public,2004,23252.8,21,706,10.018027,105.82201,SYNTHETIC_VN_REALISTIC
BLD095,Hospital Đà Nẵng 095,Đà Nẵng,Hospital,State-owned,2009,24545.7,10,1902,16.12816,108.240977,SYNTHETIC_VN_REALISTIC
BLD096,Hotel Đà Nẵng 096,Đà Nẵng,Hotel,Private,2011,10232.4,30,2236,16.015608,108.281466,SYNTHETIC_VN_REALISTIC
BLD097,Hotel Cần Thơ 097,Cần Thơ,Hotel,Private,2008,20817.3,19,2558,10.099156,105.698988,SYNTHETIC_VN_REALISTIC
BLD098,University Cần Thơ 098,Cần Thơ,University,Joint Venture,2004,30526.6,15,649,9.977662,105.774505,SYNTHETIC_VN_REALISTIC
BLD099,University Hải Phòng 099,Hải Phòng,University,Private,2016,5437.6,31,3126,20.801098,106.721738,SYNTHETIC_VN_REALISTIC
BLD100,Hotel TP.HCM 100,TP.HCM,Hotel,Private,2000,8838.1,21,422,10.877308,106.652879,SYNTHETIC_VN_REALISTIC
BLD101,Office Hà Nội 101,Hà Nội,Office,Public,2004,28130.9,26,2783,20.998997,105.888309,SYNTHETIC_VN_REALISTIC
BLD102,Hotel TP.HCM 102,TP.HCM,Hotel,Public,2026,34845.7,19,890,10.831083,106.604355,SYNTHETIC_VN_REALISTIC
BLD103,Office Hải Phòng 103,Hải Phòng,Office,Public,2010,32414.0,5,2365,20.895607,106.753666,SYNTHETIC_VN_REALISTIC
BLD104,Office Hải Phòng 104,Hải Phòng,Office,Joint Venture,2021,27184.5,35,2404,20.854126,106.749318,SYNTHETIC_VN_REALISTIC
BLD105,University TP.HCM 105,TP.HCM,University,Public,2009,43679.7,22,839,10.779341,106.576459,SYNTHETIC_VN_REALISTIC
BLD106,Hospital Cần Thơ 106,Cần Thơ,Hospital,State-owned,2012,62342.9,33,141,9.971839,105.734529,SYNTHETIC_VN_REALISTIC
BLD107,Retail Đà Nẵng 107,Đà Nẵng,Retail,Joint Venture,2008,38577.9,30,2450,16.096778,108.202127,SYNTHETIC_VN_REALISTIC
BLD108,Hospital TP.HCM 108,TP.HCM,Hospital,Private,2003,59064.2,33,2355,10.874772,106.680732,SYNTHETIC_VN_REALISTIC
BLD109,Hotel Đà Nẵng 109,Đà Nẵng,Hotel,Joint Venture,1998,42936.2,22,1229,16.127224,108.264594,SYNTHETIC_VN_REALISTIC
BLD110,Retail Hà Nội 110,Hà Nội,Retail,Private,2002,4220.2,21,1050,21.099553,105.885598,SYNTHETIC_VN_REALISTIC
BLD111,Administration TP.HCM 111,TP.HCM,Administration,Joint Venture,2018,45794.0,19,1962,10.856887,106.622928,SYNTHETIC_VN_REALISTIC
BLD112,Hospital Cần Thơ 112,Cần Thơ,Hospital,Private,2023,32841.6,31,1229,10.001729,105.679151,SYNTHETIC_VN_REALISTIC
BLD113,Administration Hà Nội 113,Hà Nội,Administration,State-owned,2012,18629.0,34,688,20.96522,105.908071,SYNTHETIC_VN_REALISTIC
BLD114,Hotel Đà Nẵng 114,Đà Nẵng,Hotel,Private,2022,40913.5,31,2237,15.991587,108.205891,SYNTHETIC_VN_REALISTIC
BLD115,Mixed-use Đà Nẵng 115,Đà Nẵng,Mixed-use,Public,1999,10095.0,26,1118,16.057537,108.178475,SYNTHETIC_VN_REALISTIC
BLD116,Office TP.HCM 116,TP.HCM,Office,Public,2019,62550.7,6,3324,10.834209,106.696475,SYNTHETIC_VN_REALISTIC
BLD117,Office Hà Nội 117,Hà Nội,Office,Public,2021,14639.3,34,727,20.966705,105.933089,SYNTHETIC_VN_REALISTIC
BLD118,Administration TP.HCM 118,TP.HCM,Administration,Joint Venture,2014,27553.3,29,483,10.863343,106.580188,SYNTHETIC_VN_REALISTIC
BLD119,Hotel Đà Nẵng 119,Đà Nẵng,Hotel,Public,2021,50212.1,31,762,15.976243,108.254089,SYNTHETIC_VN_REALISTIC
BLD120,Retail Hà Nội 120,Hà Nội,Retail,State-owned,2019,15778.2,33,2984,21.090887,105.841072,SYNTHETIC_VN_REALISTIC
