maintenance_id,equipment_id,building_id,maintenance_date,maintenance_type,work_order_status,downtime_hours,cost_vnd,technician_team,data_origin
MT00093,EQ00878,BLD057,2025-06-30,Preventive,Completed,4.8,24100000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00094,EQ00503,BLD032,2025-11-05,Calibration,In Progress,3.5,17650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00095,EQ00990,BLD063,2025-12-08,Corrective,Completed,7.0,23700000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00096,EQ00162,BLD012,2025-03-04,Calibration,Completed,11.4,14350000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00097,EQ01648,BLD104,2025-08-07,Calibration,Completed,6.7,13500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00098,EQ00866,BLD056,2026-06-30,Corrective,Open,7.1,12400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00099,EQ00924,BLD059,2025-02-23,Preventive,Open,3.6,19850000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00100,EQ00370,BLD024,2025-07-20,Cleaning,Completed,8.0,16850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00101,EQ01744,BLD111,2025-01-28,Corrective,Completed,7.6,16050000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00102,EQ01729,BLD110,2026-07-18,Calibration,Completed,1.4,5400000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00103,EQ01465,BLD093,2025-11-21,Calibration,Completed,6.6,1000000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00104,EQ01670,BLD106,2025-08-25,Calibration,In Progress,6.3,15050000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00105,EQ01432,BLD091,2026-01-05,Preventive,In Progress,3.5,18450000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00106,EQ01545,BLD098,2026-08-04,Cleaning,Open,11.4,12400000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00107,EQ01083,BLD069,2025-12-15,Calibration,Open,4.9,22750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00108,EQ01106,BLD071,2025-10-08,Preventive,Completed,3.7,16100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00109,EQ00408,BLD027,2025-03-02,Calibration,Open,1.2,22650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00110,EQ01606,BLD102,2025-07-02,Inspection,Completed,2.3,4400000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00111,EQ00502,BLD032,2025-07-28,Calibration,Completed,2.6,1000000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00112,EQ01160,BLD074,2025-06-15,Corrective,In Progress,3.2,20600000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00113,EQ00663,BLD043,2026-05-14,Cleaning,Completed,0.3,21550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00114,EQ01794,BLD113,2026-08-31,Corrective,Completed,7.5,11500000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00115,EQ00320,BLD021,2026-03-05,Cleaning,Completed,5.9,6100000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00116,EQ00696,BLD045,2026-09-05,Cleaning,Open,1.6,11000000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00117,EQ01560,BLD099,2026-06-25,Cleaning,Completed,8.7,10250000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00118,EQ00564,BLD037,2025-07-17,Cleaning,Completed,5.8,3700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00119,EQ00536,BLD035,2026-01-05,Inspection,In Progress,3.1,18500000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00120,EQ01362,BLD087,2025-12-13,Inspection,Completed,6.3,11400000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00121,EQ01862,BLD117,2026-04-30,Cleaning,Completed,11.4,18500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00122,EQ00770,BLD050,2025-09-04,Inspection,Completed,8.4,24000000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00123,EQ01042,BLD067,2025-11-17,Cleaning,Open,11.1,17950000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00124,EQ00677,BLD044,2025-08-28,Preventive,Completed,9.6,23600000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00125,EQ00540,BLD035,2025-06-25,Cleaning,Completed,9.5,1400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00126,EQ00340,BLD022,2025-07-03,Inspection,Completed,9.5,17750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00127,EQ00869,BLD056,2025-03-08,Preventive,In Progress,1.3,16400000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00128,EQ00347,BLD022,2025-02-18,Inspection,Open,3.1,5300000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00129,EQ00847,BLD055,2025-09-23,Preventive,Completed,8.7,12350000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00130,EQ00403,BLD026,2026-07-03,Cleaning,Open,7.1,21650000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00131,EQ01238,BLD079,2025-07-03,Corrective,Open,5.0,9750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00132,EQ00781,BLD050,2025-11-28,Inspection,Open,1.0,21950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00133,EQ00664,BLD043,2025-12-14,Cleaning,Completed,7.0,24250000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00134,EQ01269,BLD081,2025-08-20,Preventive,Completed,9.7,7400000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00135,EQ01694,BLD108,2026-04-20,Cleaning,Completed,6.1,11350000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00136,EQ01350,BLD086,2026-04-05,Cleaning,Completed,8.0,17750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00137,EQ01833,BLD115,2025-12-04,Calibration,Completed,7.5,12450000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00138,EQ01863,BLD117,2025-12-16,Calibration,In Progress,3.8,13650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00139,EQ01329,BLD085,2025-12-20,Inspection,Completed,3.7,19800000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00140,EQ01410,BLD090,2026-08-01,Inspection,Open,0.0,23150000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00141,EQ01852,BLD117,2025-07-08,Cleaning,Completed,5.1,21850000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00142,EQ01156,BLD074,2025-03-02,Preventive,Completed,11.4,1100000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00143,EQ01369,BLD087,2026-07-25,Preventive,Completed,11.2,7400000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00144,EQ01424,BLD091,2025-10-24,Corrective,Completed,10.2,18500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00145,EQ00230,BLD015,2025-02-10,Calibration,In Progress,1.2,1400000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00146,EQ01022,BLD065,2026-04-16,Calibration,Completed,10.9,20950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00147,EQ00322,BLD021,2026-03-19,Cleaning,Completed,5.1,1200000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00148,EQ00440,BLD029,2025-03-19,Inspection,Completed,1.5,650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00149,EQ01899,BLD119,2026-01-13,Calibration,Completed,10.3,5950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00150,EQ01650,BLD105,2025-03-18,Inspection,Completed,7.6,3550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00151,EQ00759,BLD049,2025-01-23,Cleaning,Completed,2.8,21400000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00152,EQ00762,BLD049,2026-09-13,Corrective,In Progress,3.7,24600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00153,EQ01672,BLD106,2026-01-09,Preventive,Open,7.6,5550000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00154,EQ00456,BLD030,2025-03-03,Preventive,Completed,4.0,24500000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00155,EQ00063,BLD005,2026-06-20,Calibration,Open,1.8,18850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00156,EQ01626,BLD103,2026-03-06,Preventive,Completed,3.9,10250000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00157,EQ00129,BLD009,2025-09-03,Corrective,Completed,0.2,23200000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00158,EQ01014,BLD064,2025-10-09,Calibration,Completed,4.5,21850000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00159,EQ01195,BLD077,2025-02-17,Preventive,Completed,2.4,6950000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00160,EQ00452,BLD029,2026-01-12,Calibration,Completed,9.2,16800000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00161,EQ00470,BLD030,2026-07-08,Preventive,Open,2.7,6700000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00162,EQ01679,BLD107,2026-06-04,Inspection,Completed,10.3,19500000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00163,EQ01202,BLD077,2025-10-30,Calibration,In Progress,4.5,24750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00164,EQ01361,BLD087,2026-08-22,Calibration,Open,0.3,4550000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00165,EQ00618,BLD040,2025-12-23,Calibration,Completed,2.9,3850000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00166,EQ01458,BLD093,2025-11-09,Corrective,Completed,6.8,15800000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00167,EQ00188,BLD013,2026-03-02,Preventive,Completed,7.9,6200000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00168,EQ01481,BLD094,2025-02-22,Inspection,Open,2.5,1500000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00169,EQ00462,BLD030,2025-10-09,Calibration,Completed,5.3,1000000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00170,EQ00673,BLD043,2025-05-13,Corrective,Completed,9.6,22350000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00171,EQ01920,BLD120,2025-05-13,Inspection,Completed,7.9,14900000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00172,EQ01666,BLD106,2025-12-07,Corrective,In Progress,0.3,2850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00173,EQ00324,BLD021,2025-09-27,Preventive,Open,11.5,15000000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00174,EQ00507,BLD033,2026-02-11,Preventive,Completed,7.4,15600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00175,EQ01090,BLD070,2025-03-23,Preventive,Completed,2.1,9150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00176,EQ01917,BLD120,2025-01-18,Calibration,In Progress,5.1,16350000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00177,EQ00388,BLD026,2026-08-04,Cleaning,Completed,2.0,5650000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00178,EQ00539,BLD035,2025-09-18,Calibration,Completed,3.8,850000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00179,EQ01488,BLD094,2026-02-05,Inspection,Open,11.5,22750000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00180,EQ01815,BLD114,2025-11-26,Cleaning,In Progress,3.6,24100000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00181,EQ00141,BLD010,2025-05-07,Preventive,In Progress,7.9,19500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00182,EQ01803,BLD114,2025-11-05,Cleaning,Open,2.6,1000000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00183,EQ00593,BLD038,2026-04-26,Calibration,Completed,6.5,23650000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00184,EQ01381,BLD088,2026-06-15,Preventive,Completed,5.8,23350000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00185,EQ00904,BLD058,2026-03-09,Corrective,Completed,8.4,12550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00186,EQ00302,BLD020,2025-05-22,Calibration,Open,1.1,20500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00187,EQ00535,BLD035,2025-02-16,Inspection,Completed,11.2,6750000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00188,EQ00021,BLD002,2026-08-20,Preventive,Completed,10.9,12100000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00189,EQ01854,BLD117,2026-05-27,Calibration,Completed,6.5,12500000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00190,EQ00976,BLD062,2025-09-09,Preventive,Completed,6.1,10700000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00191,EQ01743,BLD110,2026-09-01,Cleaning,Completed,0.3,16450000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00192,EQ01762,BLD111,2025-10-26,Preventive,In Progress,8.7,14100000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00193,EQ01366,BLD087,2025-12-03,Calibration,Completed,2.7,1600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00194,EQ01855,BLD117,2025-10-08,Calibration,Completed,9.4,13150000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00195,EQ00421,BLD028,2025-01-05,Inspection,In Progress,2.5,8300000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00196,EQ01197,BLD077,2025-08-26,Cleaning,Completed,6.1,4200000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00197,EQ01087,BLD069,2026-08-24,Calibration,Completed,10.9,4050000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00198,EQ00908,BLD058,2025-11-14,Cleaning,Completed,1.0,3200000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00199,EQ01836,BLD115,2026-08-09,Inspection,Completed,0.1,7850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00200,EQ01112,BLD071,2026-09-13,Inspection,Completed,8.4,20250000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00201,EQ00235,BLD016,2026-04-29,Cleaning,Open,5.8,20700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00202,EQ00254,BLD017,2025-02-04,Corrective,Completed,4.5,21400000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00203,EQ00382,BLD025,2026-09-10,Inspection,Completed,1.3,7400000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00204,EQ00646,BLD042,2026-08-27,Preventive,Completed,3.3,20100000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00205,EQ00751,BLD048,2025-07-24,Inspection,Completed,0.9,14700000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00206,EQ01230,BLD079,2026-02-24,Corrective,Completed,1.7,19150000,FM Team A,SYNTHETIC_VN_REALISTIC
