equipment_id,building_id,equipment_type,system_category,floor_or_zone,manufacturer,model,install_year,rated_power_kw,status,criticality,data_origin
EQ00021,BLD002,Lift,Vertical Transport,1,ABB,LIF-118,2021,271.1,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00022,BLD002,Cooling Tower,HVAC,Roof,Trane,COO-179,2007,72.8,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00023,BLD002,Fire Pump,Fire Safety,12,Daikin,FIR-906,2017,59.9,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00024,BLD002,Humidity Sensor,BMS,16,Schneider,HUM-114,2013,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00025,BLD002,Lift,Vertical Transport,2,Toshiba,LIF-267,2018,195.3,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00026,BLD002,Humidity Sensor,BMS,11,Panasonic,HUM-559,2025,0,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00027,BLD002,Booster Pump,Plumbing,10,ABB,BOO-936,2009,3.6,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00028,BLD002,MDB,Electrical,6,Daikin,MDB-239,2007,217.5,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00029,BLD002,Generator,Electrical,11,Schneider,GEN-155,2020,410.5,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00030,BLD002,Transformer,Electrical,7,Carrier,TRA-912,2024,335.3,Active,High,SYNTHETIC_VN_REALISTIC
EQ00031,BLD002,Lighting Panel,Lighting,8,Schneider,LIG-132,2020,218.6,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00032,BLD002,Water Pump,Plumbing,1,Grundfos,WAT-715,2017,39.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00033,BLD002,Water Pump,Plumbing,9,Mitsubishi,WAT-309,2012,71.2,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00034,BLD003,Booster Pump,Plumbing,1,LS Electric,BOO-849,2025,205.8,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00035,BLD003,Transformer,Electrical,6,Carrier,TRA-723,2026,292.8,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00036,BLD003,Generator,Electrical,8,Carrier,GEN-212,2025,443.1,Active,High,SYNTHETIC_VN_REALISTIC
EQ00037,BLD003,Cooling Tower,HVAC,Roof,Schneider,COO-354,2026,28.3,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00038,BLD003,Split AC,HVAC,3,Hitachi,SPL-229,2026,163.1,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00039,BLD003,Lighting Panel,Lighting,5,Schneider,LIG-629,2026,278.5,Standby,Medium,SYNTHETIC_VN_REALISTIC
EQ00040,BLD003,Temperature Sensor,BMS,8,Trane,TEM-248,2025,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00041,BLD003,MDB,Electrical,8,Schneider,MDB-711,2026,397.1,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00042,BLD003,Fire Pump,Fire Safety,2,Toshiba,FIR-100,2025,214.8,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00043,BLD003,Humidity Sensor,BMS,7,Hitachi,HUM-924,2025,0,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00044,BLD003,Lift,Vertical Transport,5,Hitachi,LIF-902,2026,15.5,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00045,BLD003,Chiller,HVAC,6,ABB,CHI-963,2026,17.5,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00046,BLD003,Chiller,HVAC,7,Mitsubishi,CHI-603,2026,307.5,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00047,BLD003,Chiller,HVAC,6,Grundfos,CHI-947,2026,266.9,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00048,BLD003,Booster Pump,Plumbing,7,Panasonic,BOO-297,2025,174.9,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00049,BLD004,Temperature Sensor,BMS,8,LS Electric,TEM-285,2016,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00050,BLD004,Fire Pump,Fire Safety,7,Toshiba,FIR-406,2020,279.3,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00051,BLD004,Lift,Vertical Transport,1,Toshiba,LIF-617,2019,5.1,Active,High,SYNTHETIC_VN_REALISTIC
EQ00052,BLD004,Split AC,HVAC,2,LS Electric,SPL-654,2018,117.8,Active,High,SYNTHETIC_VN_REALISTIC
EQ00053,BLD004,AHU,HVAC,13,Schneider,AHU-380,2015,236.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00054,BLD004,Fire Pump,Fire Safety,5,Toshiba,FIR-280,2013,178.1,Active,High,SYNTHETIC_VN_REALISTIC
EQ00055,BLD004,Humidity Sensor,BMS,22,Siemens,HUM-355,2015,0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00056,BLD004,Humidity Sensor,BMS,18,ABB,HUM-305,2017,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00057,BLD004,Temperature Sensor,BMS,20,Mitsubishi,TEM-767,2025,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00058,BLD004,Cooling Tower,HVAC,Roof,Trane,COO-965,2018,366.7,Active,High,SYNTHETIC_VN_REALISTIC
EQ00059,BLD004,Fire Pump,Fire Safety,18,Schneider,FIR-224,2023,5.5,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00060,BLD004,Lighting Panel,Lighting,2,Grundfos,LIG-458,2024,156.3,Active,High,SYNTHETIC_VN_REALISTIC
EQ00061,BLD004,Booster Pump,Plumbing,13,Toshiba,BOO-428,2023,121.7,Active,High,SYNTHETIC_VN_REALISTIC
EQ00062,BLD005,Humidity Sensor,BMS,11,Schneider,HUM-786,2016,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00063,BLD005,Cooling Tower,HVAC,Roof,Siemens,COO-604,2023,330.1,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00064,BLD005,AHU,HVAC,25,Schneider,AHU-743,2024,58.7,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00065,BLD005,Humidity Sensor,BMS,3,Mitsubishi,HUM-169,2015,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00066,BLD005,Transformer,Electrical,20,Siemens,TRA-854,2015,366.4,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00067,BLD005,Chiller,HVAC,14,Siemens,CHI-997,2016,162.9,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00068,BLD005,Lighting Panel,Lighting,8,Toshiba,LIG-542,2019,51.5,Active,High,SYNTHETIC_VN_REALISTIC
EQ00069,BLD005,Water Pump,Plumbing,32,Trane,WAT-235,2018,325.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00070,BLD005,Split AC,HVAC,26,Siemens,SPL-794,2019,346.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00071,BLD005,Split AC,HVAC,33,Daikin,SPL-121,2019,63.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00072,BLD005,Generator,Electrical,14,Carrier,GEN-519,2018,327.9,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00073,BLD005,AHU,HVAC,10,Daikin,AHU-658,2025,396.7,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00074,BLD005,FCU,HVAC,13,Grundfos,FCU-937,2016,150.0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00075,BLD005,Water Pump,Plumbing,11,Panasonic,WAT-106,2018,177.4,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00076,BLD005,FCU,HVAC,31,Daikin,FCU-409,2017,32.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00077,BLD006,AHU,HVAC,3,Mitsubishi,AHU-294,2024,33.0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00078,BLD006,Booster Pump,Plumbing,2,Hitachi,BOO-365,2024,141.2,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00079,BLD006,Cooling Tower,HVAC,Roof,Mitsubishi,COO-887,2026,42.5,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00080,BLD006,Water Pump,Plumbing,19,Toshiba,WAT-898,2026,156.4,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00081,BLD006,Water Pump,Plumbing,9,Siemens,WAT-480,2024,138.0,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00082,BLD006,Fire Pump,Fire Safety,12,Hitachi,FIR-104,2025,163.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00083,BLD006,MDB,Electrical,6,LS Electric,MDB-864,2026,371.9,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00084,BLD006,Booster Pump,Plumbing,13,LS Electric,BOO-609,2024,233.1,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00085,BLD006,Humidity Sensor,BMS,10,LS Electric,HUM-403,2025,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00086,BLD006,MDB,Electrical,11,Panasonic,MDB-937,2026,183.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00087,BLD006,Humidity Sensor,BMS,16,Mitsubishi,HUM-729,2024,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00088,BLD006,Temperature Sensor,BMS,4,Daikin,TEM-216,2024,0,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00089,BLD006,MDB,Electrical,16,Siemens,MDB-466,2026,139.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00090,BLD006,Lighting Panel,Lighting,1,Grundfos,LIG-886,2024,298.8,Active,High,SYNTHETIC_VN_REALISTIC
EQ00091,BLD006,Cooling Tower,HVAC,Roof,Panasonic,COO-411,2025,366.8,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00092,BLD006,Chiller,HVAC,4,LS Electric,CHI-615,2026,449.6,Active,High,SYNTHETIC_VN_REALISTIC
EQ00093,BLD006,Booster Pump,Plumbing,17,Trane,BOO-523,2024,117.4,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00094,BLD006,Chiller,HVAC,4,Grundfos,CHI-269,2025,220.3,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00095,BLD006,Temperature Sensor,BMS,13,LS Electric,TEM-222,2026,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00096,BLD006,Fire Pump,Fire Safety,5,Panasonic,FIR-941,2026,332.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00097,BLD006,Lift,Vertical Transport,17,LS Electric,LIF-894,2024,248.0,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00098,BLD006,CO2 Sensor,BMS,15,Grundfos,CO2-116,2025,0,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00099,BLD007,Generator,Electrical,4,Hitachi,GEN-188,2016,240.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00100,BLD007,FCU,HVAC,1,Trane,FCU-934,2023,325.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00101,BLD007,Humidity Sensor,BMS,4,Trane,HUM-926,2009,0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00102,BLD007,Chiller,HVAC,1,Trane,CHI-437,2023,441.0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00103,BLD007,Lift,Vertical Transport,2,ABB,LIF-894,2011,133.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00104,BLD007,Cooling Tower,HVAC,Roof,Trane,COO-732,2020,105.6,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00105,BLD007,Generator,Electrical,4,Panasonic,GEN-743,2023,323.6,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00106,BLD007,FCU,HVAC,1,Daikin,FCU-219,2025,394.6,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00107,BLD007,Lift,Vertical Transport,2,Panasonic,LIF-775,2020,413.3,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00108,BLD007,Humidity Sensor,BMS,4,Mitsubishi,HUM-643,2017,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00109,BLD007,Lighting Panel,Lighting,4,Grundfos,LIG-974,2022,53.4,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00110,BLD007,Humidity Sensor,BMS,3,Hitachi,HUM-127,2025,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00111,BLD007,Split AC,HVAC,4,Hitachi,SPL-254,2006,72.3,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00112,BLD007,Cooling Tower,HVAC,Roof,Hitachi,COO-708,2009,331.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00113,BLD007,Lift,Vertical Transport,4,ABB,LIF-416,2021,20.4,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00114,BLD008,Chiller,HVAC,8,Schneider,CHI-775,2026,249.1,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00115,BLD008,Split AC,HVAC,9,Toshiba,SPL-148,2012,169.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00116,BLD008,Water Pump,Plumbing,1,ABB,WAT-943,2019,187.4,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00117,BLD008,Fire Pump,Fire Safety,7,ABB,FIR-770,2008,263.0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00118,BLD008,Fire Pump,Fire Safety,8,Daikin,FIR-134,2018,28.3,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00119,BLD008,Humidity Sensor,BMS,15,LS Electric,HUM-956,2014,0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00120,BLD008,Generator,Electrical,11,Trane,GEN-498,2020,59.4,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00121,BLD008,Split AC,HVAC,17,ABB,SPL-913,2019,235.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00122,BLD008,Lighting Panel,Lighting,4,Hitachi,LIG-168,2019,378.7,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00123,BLD008,Chiller,HVAC,3,Siemens,CHI-264,2026,384.1,Standby,Medium,SYNTHETIC_VN_REALISTIC
EQ00124,BLD008,MDB,Electrical,14,LS Electric,MDB-552,2008,86.1,Active,High,SYNTHETIC_VN_REALISTIC
EQ00125,BLD009,Fire Pump,Fire Safety,29,Panasonic,FIR-575,2023,43.3,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00126,BLD009,MDB,Electrical,1,LS Electric,MDB-511,2023,404.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00127,BLD009,Transformer,Electrical,1,Siemens,TRA-419,2026,10.9,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00128,BLD009,Humidity Sensor,BMS,19,Daikin,HUM-381,2023,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00129,BLD009,Cooling Tower,HVAC,Roof,Carrier,COO-324,2024,20.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00130,BLD009,Generator,Electrical,27,Schneider,GEN-564,2026,173.7,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00131,BLD009,Lighting Panel,Lighting,26,LS Electric,LIG-242,2026,244.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00132,BLD009,Lift,Vertical Transport,18,Grundfos,LIF-582,2025,177.6,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00133,BLD009,Transformer,Electrical,29,Mitsubishi,TRA-312,2026,410.8,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00134,BLD009,AHU,HVAC,14,Mitsubishi,AHU-106,2023,229.2,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00135,BLD009,Water Pump,Plumbing,1,Hitachi,WAT-791,2024,228.8,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00136,BLD010,Generator,Electrical,16,Trane,GEN-907,2004,398.8,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00137,BLD010,Water Pump,Plumbing,15,ABB,WAT-294,2012,92.2,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00138,BLD010,MDB,Electrical,28,Siemens,MDB-760,2019,320.2,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00139,BLD010,Fire Pump,Fire Safety,13,LS Electric,FIR-601,2017,307.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00140,BLD010,Temperature Sensor,BMS,9,Panasonic,TEM-544,2019,0,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00141,BLD010,Generator,Electrical,20,Carrier,GEN-597,2001,368.9,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00142,BLD010,Temperature Sensor,BMS,3,Trane,TEM-556,2006,0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00143,BLD010,MDB,Electrical,1,Mitsubishi,MDB-311,2004,116.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00144,BLD010,Water Pump,Plumbing,8,LS Electric,WAT-457,2019,23.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00145,BLD010,Temperature Sensor,BMS,15,Panasonic,TEM-909,2026,0,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00146,BLD011,Split AC,HVAC,5,ABB,SPL-841,2026,141.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00147,BLD011,AHU,HVAC,8,LS Electric,AHU-463,2021,409.7,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00148,BLD011,CO2 Sensor,BMS,1,LS Electric,CO2-834,2023,0,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00149,BLD011,FCU,HVAC,6,Trane,FCU-990,2024,266.3,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00150,BLD011,Generator,Electrical,8,Siemens,GEN-126,2026,191.6,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00151,BLD011,Cooling Tower,HVAC,Roof,Siemens,COO-453,2020,329.5,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00152,BLD011,Booster Pump,Plumbing,6,LS Electric,BOO-116,2025,145.5,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00153,BLD011,Lighting Panel,Lighting,2,Panasonic,LIG-979,2025,173.2,Standby,Medium,SYNTHETIC_VN_REALISTIC
EQ00154,BLD011,Transformer,Electrical,5,LS Electric,TRA-667,2023,280.5,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00155,BLD011,Chiller,HVAC,4,Toshiba,CHI-263,2023,301.8,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00156,BLD011,Water Pump,Plumbing,2,Hitachi,WAT-385,2023,118.7,Active,High,SYNTHETIC_VN_REALISTIC
EQ00157,BLD011,CO2 Sensor,BMS,8,Daikin,CO2-422,2023,0,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00158,BLD011,Water Pump,Plumbing,7,Schneider,WAT-165,2020,149.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00159,BLD011,CO2 Sensor,BMS,7,Schneider,CO2-371,2026,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00160,BLD011,CO2 Sensor,BMS,3,Grundfos,CO2-834,2025,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00161,BLD012,AHU,HVAC,2,Daikin,AHU-249,2025,358.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00162,BLD012,Split AC,HVAC,14,Carrier,SPL-876,2026,258.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00163,BLD012,Lift,Vertical Transport,9,Mitsubishi,LIF-691,2022,421.7,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00164,BLD012,Chiller,HVAC,7,Daikin,CHI-691,2018,279.7,Active,High,SYNTHETIC_VN_REALISTIC
EQ00165,BLD012,CO2 Sensor,BMS,11,Trane,CO2-938,2022,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00166,BLD012,Humidity Sensor,BMS,6,ABB,HUM-635,2014,0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00167,BLD012,MDB,Electrical,16,Toshiba,MDB-234,2024,75.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00168,BLD012,Booster Pump,Plumbing,3,ABB,BOO-205,2015,267.3,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00169,BLD012,Generator,Electrical,4,LS Electric,GEN-307,2017,310.0,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00170,BLD012,Booster Pump,Plumbing,10,Schneider,BOO-579,2016,333.9,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00171,BLD012,Booster Pump,Plumbing,14,Panasonic,BOO-948,2017,174.8,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00172,BLD012,Fire Pump,Fire Safety,7,Panasonic,FIR-249,2026,385.5,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00173,BLD012,FCU,HVAC,4,Trane,FCU-651,2015,45.2,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00174,BLD013,Chiller,HVAC,14,Grundfos,CHI-318,2026,359.4,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00175,BLD013,Temperature Sensor,BMS,13,Trane,TEM-272,2024,0,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00176,BLD013,Lift,Vertical Transport,10,Toshiba,LIF-263,2026,229.4,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00177,BLD013,Cooling Tower,HVAC,Roof,Siemens,COO-333,2025,243.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00178,BLD013,FCU,HVAC,8,Toshiba,FCU-631,2025,172.1,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00179,BLD013,Humidity Sensor,BMS,12,Mitsubishi,HUM-326,2026,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00180,BLD013,AHU,HVAC,28,Siemens,AHU-860,2024,3.5,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00181,BLD013,Generator,Electrical,27,Hitachi,GEN-725,2024,10.1,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00182,BLD013,MDB,Electrical,11,Trane,MDB-359,2026,253.1,Active,High,SYNTHETIC_VN_REALISTIC
EQ00183,BLD013,Lift,Vertical Transport,24,Carrier,LIF-922,2026,162.9,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00184,BLD013,MDB,Electrical,13,Hitachi,MDB-463,2024,255.1,Maintenance,Low,SYNTHETIC_VN_REALISTIC
EQ00185,BLD013,Humidity Sensor,BMS,14,Daikin,HUM-874,2024,0,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00186,BLD013,CO2 Sensor,BMS,28,Toshiba,CO2-944,2025,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00187,BLD013,Split AC,HVAC,24,Trane,SPL-976,2025,205.8,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00188,BLD013,MDB,Electrical,3,Hitachi,MDB-816,2026,22.4,Active,High,SYNTHETIC_VN_REALISTIC
EQ00189,BLD013,FCU,HVAC,8,Grundfos,FCU-800,2024,67.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00190,BLD013,AHU,HVAC,24,Carrier,AHU-627,2025,236.3,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00191,BLD014,Chiller,HVAC,3,Siemens,CHI-907,2022,118.6,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00192,BLD014,Booster Pump,Plumbing,16,Carrier,BOO-604,2017,79.7,Active,High,SYNTHETIC_VN_REALISTIC
EQ00193,BLD014,Water Pump,Plumbing,12,Hitachi,WAT-678,2014,296.3,Active,High,SYNTHETIC_VN_REALISTIC
EQ00194,BLD014,FCU,HVAC,17,Siemens,FCU-774,2026,45.3,Active,High,SYNTHETIC_VN_REALISTIC
EQ00195,BLD014,Humidity Sensor,BMS,19,Trane,HUM-576,2011,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00196,BLD014,Chiller,HVAC,6,Carrier,CHI-412,2026,195.1,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00197,BLD014,AHU,HVAC,15,Daikin,AHU-951,2018,201.6,Active,High,SYNTHETIC_VN_REALISTIC
EQ00198,BLD014,FCU,HVAC,23,Grundfos,FCU-283,2009,264.7,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00199,BLD014,AHU,HVAC,2,Mitsubishi,AHU-420,2013,97.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00200,BLD014,Generator,Electrical,24,Grundfos,GEN-354,2020,331.0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00201,BLD014,Temperature Sensor,BMS,16,LS Electric,TEM-476,2011,0,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00202,BLD014,Booster Pump,Plumbing,6,Trane,BOO-293,2023,84.8,Active,High,SYNTHETIC_VN_REALISTIC
EQ00203,BLD014,Transformer,Electrical,19,Siemens,TRA-202,2025,252.0,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00204,BLD014,Generator,Electrical,1,Schneider,GEN-576,2010,173.8,Active,High,SYNTHETIC_VN_REALISTIC
