electric_meter_id,building_id,meter_level,meter_type,voltage_level_v,contract_demand_kw,utility_region,status,data_origin
EM014-1,BLD014,Main,3-phase Direct,380,1038.4,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM014-2,BLD014,HVAC,3-phase CT,400,944.2,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM015-1,BLD015,Main,Smart Meter,380,1177.8,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM015-2,BLD015,HVAC,3-phase Direct,400,1928.9,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM016-1,BLD016,Main,3-phase CT,400,304.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM016-2,BLD016,HVAC,3-phase CT,380,289.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM017-1,BLD017,Main,3-phase Direct,380,1966.2,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM017-2,BLD017,HVAC,Smart Meter,400,1786.5,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM018-1,BLD018,Main,3-phase Direct,380,1366.0,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM018-2,BLD018,HVAC,3-phase CT,400,1663.5,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM019-1,BLD019,Main,Smart Meter,380,1803.3,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM019-2,BLD019,HVAC,3-phase Direct,380,1208.7,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM020-1,BLD020,Main,3-phase Direct,400,1144.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM020-2,BLD020,HVAC,Smart Meter,380,966.2,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM021-1,BLD021,Main,3-phase CT,380,2696.4,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM021-2,BLD021,HVAC,3-phase Direct,380,2471.9,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM022-1,BLD022,Main,Smart Meter,400,1368.3,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM022-2,BLD022,HVAC,3-phase CT,380,1202.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM023-1,BLD023,Main,3-phase CT,380,1929.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM023-2,BLD023,HVAC,3-phase CT,400,2921.4,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM024-1,BLD024,Main,3-phase Direct,400,1469.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM024-2,BLD024,HVAC,3-phase CT,380,1276.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM025-1,BLD025,Main,3-phase CT,400,2337.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM025-2,BLD025,HVAC,3-phase Direct,400,2325.2,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM026-1,BLD026,Main,3-phase CT,400,1940.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM026-2,BLD026,HVAC,3-phase Direct,400,1893.5,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM027-1,BLD027,Main,3-phase CT,380,1697.4,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM027-2,BLD027,HVAC,Smart Meter,380,2415.5,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM028-1,BLD028,Main,3-phase Direct,400,1393.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM028-2,BLD028,HVAC,Smart Meter,380,1600.3,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM029-1,BLD029,Main,Smart Meter,380,908.6,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM029-2,BLD029,HVAC,3-phase CT,380,664.9,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM030-1,BLD030,Main,3-phase Direct,400,813.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM030-2,BLD030,HVAC,3-phase CT,380,553.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM031-1,BLD031,Main,3-phase Direct,400,845.7,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM031-2,BLD031,HVAC,3-phase Direct,380,760.4,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM032-1,BLD032,Main,Smart Meter,400,1280.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM032-2,BLD032,HVAC,3-phase CT,380,1199.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM033-1,BLD033,Main,Smart Meter,400,1501.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM033-2,BLD033,HVAC,Smart Meter,380,663.0,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM034-1,BLD034,Main,Smart Meter,380,1683.9,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM034-2,BLD034,HVAC,3-phase CT,400,2563.0,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM035-1,BLD035,Main,3-phase Direct,380,1164.3,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM035-2,BLD035,HVAC,3-phase CT,400,1097.2,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM036-1,BLD036,Main,3-phase Direct,400,1100.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM036-2,BLD036,HVAC,3-phase Direct,380,2229.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM037-1,BLD037,Main,Smart Meter,380,122.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM037-2,BLD037,HVAC,3-phase Direct,400,285.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM038-1,BLD038,Main,3-phase CT,380,1214.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM038-2,BLD038,HVAC,3-phase Direct,380,1285.6,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM039-1,BLD039,Main,3-phase Direct,400,1990.3,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM039-2,BLD039,HVAC,3-phase Direct,380,1455.3,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM040-1,BLD040,Main,3-phase CT,400,705.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM040-2,BLD040,HVAC,3-phase CT,380,336.2,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM041-1,BLD041,Main,3-phase Direct,380,1451.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM041-2,BLD041,HVAC,3-phase CT,380,1527.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM042-1,BLD042,Main,3-phase CT,400,1295.3,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM042-2,BLD042,HVAC,Smart Meter,380,2058.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM043-1,BLD043,Main,Smart Meter,400,213.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM043-2,BLD043,HVAC,3-phase CT,380,238.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM044-1,BLD044,Main,Smart Meter,380,1137.4,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM044-2,BLD044,HVAC,Smart Meter,380,2611.5,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM045-1,BLD045,Main,Smart Meter,380,1188.7,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM045-2,BLD045,HVAC,3-phase Direct,380,1952.9,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM046-1,BLD046,Main,Smart Meter,380,2299.8,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM046-2,BLD046,HVAC,3-phase Direct,400,2653.3,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM047-1,BLD047,Main,Smart Meter,380,181.5,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM047-2,BLD047,HVAC,3-phase Direct,380,200.7,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM048-1,BLD048,Main,3-phase CT,380,186.5,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM048-2,BLD048,HVAC,3-phase Direct,400,196.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM049-1,BLD049,Main,3-phase Direct,400,906.4,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM049-2,BLD049,HVAC,3-phase Direct,380,960.7,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM050-1,BLD050,Main,3-phase Direct,380,1736.3,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM050-2,BLD050,HVAC,3-phase CT,380,2402.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM051-1,BLD051,Main,3-phase CT,380,1409.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM051-2,BLD051,HVAC,3-phase Direct,400,1291.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM052-1,BLD052,Main,3-phase Direct,400,3238.1,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM052-2,BLD052,HVAC,3-phase Direct,380,1731.1,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM053-1,BLD053,Main,3-phase CT,400,1932.9,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM053-2,BLD053,HVAC,3-phase Direct,380,2698.3,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM054-1,BLD054,Main,3-phase Direct,380,357.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM054-2,BLD054,HVAC,3-phase CT,400,637.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM055-1,BLD055,Main,3-phase Direct,400,702.1,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM055-2,BLD055,HVAC,Smart Meter,380,482.7,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM056-1,BLD056,Main,3-phase Direct,380,872.2,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM056-2,BLD056,HVAC,3-phase Direct,380,1406.4,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM057-1,BLD057,Main,Smart Meter,400,1337.2,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM057-2,BLD057,HVAC,3-phase CT,380,1478.1,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM058-1,BLD058,Main,3-phase CT,380,1703.2,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM058-2,BLD058,HVAC,3-phase Direct,400,1571.0,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM059-1,BLD059,Main,3-phase Direct,380,155.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM059-2,BLD059,HVAC,3-phase Direct,400,260.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM060-1,BLD060,Main,3-phase Direct,400,1558.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM060-2,BLD060,HVAC,3-phase CT,380,1035.2,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM061-1,BLD061,Main,3-phase CT,380,518.6,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM061-2,BLD061,HVAC,3-phase Direct,400,398.2,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM062-1,BLD062,Main,3-phase Direct,380,2696.0,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM062-2,BLD062,HVAC,3-phase CT,400,3144.6,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM063-1,BLD063,Main,3-phase CT,400,491.6,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM063-2,BLD063,HVAC,3-phase Direct,400,462.2,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM064-1,BLD064,Main,Smart Meter,380,592.6,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM064-2,BLD064,HVAC,Smart Meter,380,1087.4,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM065-1,BLD065,Main,Smart Meter,400,692.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM065-2,BLD065,HVAC,3-phase CT,380,956.1,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM066-1,BLD066,Main,3-phase CT,400,2310.2,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM066-2,BLD066,HVAC,Smart Meter,400,2832.5,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM067-1,BLD067,Main,3-phase CT,380,519.7,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM067-2,BLD067,HVAC,Smart Meter,380,1007.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM068-1,BLD068,Main,3-phase CT,380,2397.5,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM068-2,BLD068,HVAC,3-phase CT,380,2410.8,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM069-1,BLD069,Main,3-phase Direct,380,1754.0,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM069-2,BLD069,HVAC,3-phase Direct,400,1614.9,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM070-1,BLD070,Main,3-phase Direct,400,729.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM070-2,BLD070,HVAC,Smart Meter,380,1065.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM071-1,BLD071,Main,3-phase Direct,400,3416.5,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM071-2,BLD071,HVAC,Smart Meter,380,2370.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM072-1,BLD072,Main,3-phase CT,400,758.7,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM072-2,BLD072,HVAC,3-phase Direct,380,747.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM073-1,BLD073,Main,3-phase CT,400,1379.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM073-2,BLD073,HVAC,3-phase Direct,400,2725.1,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM074-1,BLD074,Main,Smart Meter,400,1437.1,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM074-2,BLD074,HVAC,3-phase CT,380,1892.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM075-1,BLD075,Main,3-phase CT,380,1800.2,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM075-2,BLD075,HVAC,Smart Meter,400,1464.4,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM076-1,BLD076,Main,3-phase CT,400,343.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM076-2,BLD076,HVAC,Smart Meter,380,496.4,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM077-1,BLD077,Main,3-phase Direct,400,2693.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM077-2,BLD077,HVAC,3-phase CT,380,2326.3,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM078-1,BLD078,Main,3-phase Direct,400,148.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM078-2,BLD078,HVAC,3-phase Direct,400,197.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM079-1,BLD079,Main,3-phase Direct,400,583.8,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM079-2,BLD079,HVAC,3-phase Direct,380,575.7,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM080-1,BLD080,Main,3-phase CT,400,2585.8,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM080-2,BLD080,HVAC,3-phase Direct,380,2192.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM081-1,BLD081,Main,Smart Meter,400,1434.8,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM081-2,BLD081,HVAC,3-phase CT,400,1618.1,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM082-1,BLD082,Main,Smart Meter,380,1033.6,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM082-2,BLD082,HVAC,3-phase CT,400,1462.2,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM083-1,BLD083,Main,3-phase Direct,380,879.6,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM083-2,BLD083,HVAC,3-phase CT,400,1316.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM084-1,BLD084,Main,3-phase Direct,400,1540.0,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM084-2,BLD084,HVAC,Smart Meter,380,1611.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM085-1,BLD085,Main,Smart Meter,380,190.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM085-2,BLD085,HVAC,Smart Meter,400,213.8,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM086-1,BLD086,Main,Smart Meter,400,1338.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM086-2,BLD086,HVAC,3-phase CT,380,842.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM087-1,BLD087,Main,3-phase CT,400,975.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM087-2,BLD087,HVAC,3-phase Direct,380,1010.9,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM088-1,BLD088,Main,3-phase Direct,400,1268.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM088-2,BLD088,HVAC,Smart Meter,400,1180.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM089-1,BLD089,Main,Smart Meter,380,429.6,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM089-2,BLD089,HVAC,Smart Meter,400,546.3,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM090-1,BLD090,Main,3-phase CT,380,1905.5,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM090-2,BLD090,HVAC,3-phase Direct,380,920.9,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM091-1,BLD091,Main,3-phase CT,380,838.1,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM091-2,BLD091,HVAC,3-phase Direct,380,648.0,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM092-1,BLD092,Main,3-phase CT,400,1499.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM092-2,BLD092,HVAC,3-phase CT,380,1185.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM093-1,BLD093,Main,Smart Meter,400,1642.2,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM093-2,BLD093,HVAC,3-phase CT,400,1327.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM094-1,BLD094,Main,3-phase CT,380,1106.0,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM094-2,BLD094,HVAC,3-phase CT,400,584.0,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM095-1,BLD095,Main,3-phase CT,400,952.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM095-2,BLD095,HVAC,Smart Meter,400,1392.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM096-1,BLD096,Main,Smart Meter,400,334.4,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM096-2,BLD096,HVAC,Smart Meter,380,357.4,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM097-1,BLD097,Main,Smart Meter,380,564.1,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM097-2,BLD097,HVAC,3-phase Direct,380,834.0,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM098-1,BLD098,Main,3-phase CT,380,961.3,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM098-2,BLD098,HVAC,Smart Meter,380,1305.9,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM099-1,BLD099,Main,3-phase Direct,400,294.0,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM099-2,BLD099,HVAC,3-phase Direct,380,181.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM100-1,BLD100,Main,Smart Meter,380,508.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM100-2,BLD100,HVAC,Smart Meter,400,282.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM101-1,BLD101,Main,3-phase Direct,380,1482.2,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM101-2,BLD101,HVAC,3-phase CT,400,1038.6,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM102-1,BLD102,Main,Smart Meter,380,1400.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM102-2,BLD102,HVAC,Smart Meter,400,934.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM103-1,BLD103,Main,3-phase Direct,400,1288.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM103-2,BLD103,HVAC,Smart Meter,400,1549.1,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM104-1,BLD104,Main,Smart Meter,380,1155.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM104-2,BLD104,HVAC,Smart Meter,380,934.0,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM105-1,BLD105,Main,3-phase CT,400,1370.1,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM105-2,BLD105,HVAC,Smart Meter,380,2420.7,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM106-1,BLD106,Main,3-phase Direct,400,2224.9,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM106-2,BLD106,HVAC,Smart Meter,380,2336.7,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM107-1,BLD107,Main,3-phase Direct,400,1769.2,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM107-2,BLD107,HVAC,3-phase CT,400,2102.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM108-1,BLD108,Main,Smart Meter,380,1602.6,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM108-2,BLD108,HVAC,3-phase Direct,400,2569.9,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM109-1,BLD109,Main,3-phase Direct,400,2157.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM109-2,BLD109,HVAC,3-phase CT,400,1786.4,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM110-1,BLD110,Main,3-phase CT,400,163.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM110-2,BLD110,HVAC,3-phase CT,380,127.2,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM111-1,BLD111,Main,Smart Meter,400,2358.5,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM111-2,BLD111,HVAC,Smart Meter,400,2437.6,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM112-1,BLD112,Main,3-phase Direct,400,1214.4,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM112-2,BLD112,HVAC,3-phase Direct,380,1573.5,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM113-1,BLD113,Main,Smart Meter,400,874.9,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM113-2,BLD113,HVAC,3-phase Direct,400,571.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM114-1,BLD114,Main,Smart Meter,380,2176.9,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM114-2,BLD114,HVAC,Smart Meter,400,2039.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM115-1,BLD115,Main,Smart Meter,380,317.6,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM115-2,BLD115,HVAC,3-phase Direct,380,313.9,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM116-1,BLD116,Main,3-phase Direct,380,1958.0,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM116-2,BLD116,HVAC,3-phase Direct,380,2926.8,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM117-1,BLD117,Main,3-phase CT,380,567.8,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM117-2,BLD117,HVAC,Smart Meter,380,499.1,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM118-1,BLD118,Main,3-phase CT,400,803.4,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM118-2,BLD118,HVAC,Smart Meter,380,1093.4,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
