water_meter_id,building_id,meter_type,pipe_diameter_mm,status,data_origin
WM056,BLD056,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM057,BLD057,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM058,BLD058,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM059,BLD059,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM060,BLD060,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM061,BLD061,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM062,BLD062,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM063,BLD063,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM064,BLD064,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM065,BLD065,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM066,BLD066,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM067,BLD067,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM068,BLD068,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM069,BLD069,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM070,BLD070,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM071,BLD071,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM072,BLD072,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM073,BLD073,Ultrasonic,50,Active,SYNTHETIC_VN_REALISTIC
WM074,BLD074,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM075,BLD075,Mechanical,150,Active,SYNTHETIC_VN_REALISTIC
WM076,BLD076,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM077,BLD077,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM078,BLD078,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM079,BLD079,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM080,BLD080,Mechanical,150,Active,SYNTHETIC_VN_REALISTIC
WM081,BLD081,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM082,BLD082,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM083,BLD083,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM084,BLD084,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM085,BLD085,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM086,BLD086,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM087,BLD087,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM088,BLD088,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM089,BLD089,Ultrasonic,50,Active,SYNTHETIC_VN_REALISTIC
WM090,BLD090,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM091,BLD091,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM092,BLD092,Ultrasonic,80,Active,SYNTHETIC_VN_REALISTIC
WM093,BLD093,Ultrasonic,50,Active,SYNTHETIC_VN_REALISTIC
WM094,BLD094,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM095,BLD095,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM096,BLD096,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM097,BLD097,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM098,BLD098,Ultrasonic,80,Active,SYNTHETIC_VN_REALISTIC
WM099,BLD099,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM100,BLD100,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM101,BLD101,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM102,BLD102,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM103,BLD103,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM104,BLD104,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM105,BLD105,Ultrasonic,80,Active,SYNTHETIC_VN_REALISTIC
WM106,BLD106,Mechanical,80,Active,SYNTHETIC_VN_REALISTIC
WM107,BLD107,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM108,BLD108,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM109,BLD109,Mechanical,150,Active,SYNTHETIC_VN_REALISTIC
WM110,BLD110,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM111,BLD111,Ultrasonic,80,Active,SYNTHETIC_VN_REALISTIC
WM112,BLD112,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM113,BLD113,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM114,BLD114,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM115,BLD115,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM116,BLD116,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM117,BLD117,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM118,BLD118,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM119,BLD119,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM120,BLD120,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
