fault_id,equipment_id,building_id,fault_timestamp,fault_type,severity,acknowledged,resolved,data_origin
FLT00079,EQ01661,BLD105,2026-01-16 14:00:00,High Temperature,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00080,EQ00804,BLD052,2026-05-20 05:00:00,Communication Loss,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00081,EQ01183,BLD076,2026-03-02 22:00:00,Communication Loss,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00082,EQ00757,BLD049,2026-07-25 15:00:00,Sensor Drift,Low,No,No,SYNTHETIC_VN_REALISTIC
FLT00083,EQ00616,BLD040,2026-01-11 23:00:00,Valve Stuck,Critical,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00084,EQ01137,BLD073,2026-02-13 03:00:00,Low Flow,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00085,EQ01193,BLD077,2026-02-23 22:00:00,Low Pressure,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00086,EQ01846,BLD116,2026-02-07 07:00:00,Low Pressure,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00087,EQ01036,BLD066,2026-02-05 03:00:00,Abnormal Vibration,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00088,EQ00416,BLD028,2026-03-15 01:00:00,Valve Stuck,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00089,EQ00562,BLD037,2026-08-25 17:00:00,Overcurrent,High,No,No,SYNTHETIC_VN_REALISTIC
FLT00090,EQ01572,BLD100,2026-04-23 17:00:00,Abnormal Vibration,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00091,EQ00787,BLD051,2026-06-10 04:00:00,Low Flow,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00092,EQ01848,BLD116,2026-06-28 06:00:00,Sensor Drift,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00093,EQ00355,BLD023,2026-08-26 22:00:00,Valve Stuck,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00094,EQ00732,BLD047,2026-05-26 04:00:00,Valve Stuck,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00095,EQ00847,BLD055,2026-02-22 07:00:00,Abnormal Vibration,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00096,EQ00584,BLD038,2026-03-03 02:00:00,Sensor Drift,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00097,EQ01111,BLD071,2026-06-12 07:00:00,Sensor Drift,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00098,EQ00457,BLD030,2026-03-30 23:00:00,High Temperature,Medium,No,No,SYNTHETIC_VN_REALISTIC
FLT00099,EQ01575,BLD100,2026-02-26 15:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00100,EQ00593,BLD038,2026-03-27 06:00:00,Overcurrent,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00101,EQ00658,BLD043,2026-05-06 04:00:00,Valve Stuck,High,No,No,SYNTHETIC_VN_REALISTIC
FLT00102,EQ00528,BLD034,2026-04-18 23:00:00,Valve Stuck,High,No,No,SYNTHETIC_VN_REALISTIC
FLT00103,EQ00857,BLD056,2026-09-04 06:00:00,Overcurrent,High,No,No,SYNTHETIC_VN_REALISTIC
FLT00104,EQ00516,BLD034,2026-02-25 23:00:00,Overcurrent,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00105,EQ01509,BLD096,2026-09-02 19:00:00,Communication Loss,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00106,EQ00947,BLD060,2026-06-12 21:00:00,Valve Stuck,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00107,EQ01068,BLD068,2026-08-08 19:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00108,EQ01232,BLD079,2026-04-28 19:00:00,Communication Loss,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00109,EQ01027,BLD065,2026-05-08 07:00:00,Sensor Drift,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00110,EQ00297,BLD019,2026-03-09 04:00:00,Low Pressure,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00111,EQ00195,BLD014,2026-03-15 07:00:00,High Temperature,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00112,EQ00123,BLD008,2026-02-19 23:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00113,EQ00714,BLD046,2026-09-06 20:00:00,Low Flow,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00114,EQ01472,BLD093,2026-07-05 08:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00115,EQ00132,BLD009,2026-02-23 16:00:00,Low Pressure,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00116,EQ01377,BLD088,2026-03-24 22:00:00,High Temperature,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00117,EQ01169,BLD075,2026-02-08 10:00:00,Abnormal Vibration,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00118,EQ00076,BLD005,2026-03-06 07:00:00,Sensor Drift,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00119,EQ01479,BLD094,2026-07-09 10:00:00,Low Flow,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00120,EQ00541,BLD035,2026-06-10 13:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00121,EQ01441,BLD092,2026-06-01 04:00:00,Valve Stuck,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00122,EQ00028,BLD002,2026-08-24 12:00:00,High Temperature,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00123,EQ00966,BLD062,2026-07-10 00:00:00,Abnormal Vibration,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00124,EQ01792,BLD113,2026-04-14 03:00:00,Low Flow,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00125,EQ01717,BLD109,2026-03-10 09:00:00,Sensor Drift,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00126,EQ00271,BLD018,2026-02-07 00:00:00,Communication Loss,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00127,EQ00073,BLD005,2026-04-21 05:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00128,EQ01290,BLD083,2026-01-29 01:00:00,Low Pressure,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00129,EQ01528,BLD097,2026-01-19 06:00:00,Sensor Drift,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00130,EQ00464,BLD030,2026-03-29 06:00:00,Abnormal Vibration,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00131,EQ01613,BLD103,2026-04-06 18:00:00,Abnormal Vibration,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00132,EQ01153,BLD074,2026-06-11 23:00:00,Valve Stuck,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00133,EQ00323,BLD021,2026-06-17 06:00:00,High Temperature,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00134,EQ00996,BLD064,2026-07-17 19:00:00,Abnormal Vibration,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00135,EQ01867,BLD117,2026-06-05 06:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00136,EQ00887,BLD057,2026-02-07 02:00:00,High Temperature,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00137,EQ01107,BLD071,2026-02-16 07:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00138,EQ01143,BLD073,2026-01-08 02:00:00,Sensor Drift,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00139,EQ01533,BLD097,2026-02-09 22:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00140,EQ00669,BLD043,2026-04-11 01:00:00,Low Pressure,Low,No,No,SYNTHETIC_VN_REALISTIC
FLT00141,EQ00794,BLD051,2026-04-13 20:00:00,Low Flow,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00142,EQ00479,BLD031,2026-08-24 06:00:00,Communication Loss,Low,No,No,SYNTHETIC_VN_REALISTIC
FLT00143,EQ01134,BLD073,2026-04-03 13:00:00,Abnormal Vibration,Critical,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00144,EQ00701,BLD045,2026-01-16 15:00:00,Valve Stuck,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00145,EQ01273,BLD082,2026-04-16 10:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00146,EQ01534,BLD097,2026-01-05 19:00:00,High Temperature,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00147,EQ00335,BLD022,2026-02-12 17:00:00,High Temperature,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00148,EQ01597,BLD101,2026-08-28 15:00:00,Low Pressure,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00149,EQ00253,BLD017,2026-08-11 11:00:00,High Temperature,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00150,EQ00374,BLD025,2026-07-14 07:00:00,Overcurrent,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00151,EQ01739,BLD110,2026-08-14 00:00:00,Communication Loss,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00152,EQ01622,BLD103,2026-02-01 11:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00153,EQ00925,BLD059,2026-05-10 09:00:00,High Temperature,Critical,No,No,SYNTHETIC_VN_REALISTIC
FLT00154,EQ01903,BLD119,2026-05-24 12:00:00,Sensor Drift,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00155,EQ00070,BLD005,2026-01-19 07:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00156,EQ00775,BLD050,2026-04-10 12:00:00,Abnormal Vibration,Critical,No,No,SYNTHETIC_VN_REALISTIC
FLT00157,EQ01621,BLD103,2026-08-14 21:00:00,Communication Loss,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00158,EQ00043,BLD003,2026-06-26 23:00:00,High Temperature,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00159,EQ00268,BLD018,2026-07-11 18:00:00,Low Pressure,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00160,EQ01827,BLD115,2026-06-01 16:00:00,High Temperature,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00161,EQ00747,BLD048,2026-03-19 03:00:00,Low Pressure,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00162,EQ01887,BLD119,2026-02-22 02:00:00,Abnormal Vibration,Medium,No,No,SYNTHETIC_VN_REALISTIC
FLT00163,EQ00988,BLD063,2026-08-27 00:00:00,Abnormal Vibration,High,No,No,SYNTHETIC_VN_REALISTIC
FLT00164,EQ00846,BLD055,2026-04-01 00:00:00,Low Flow,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00165,EQ00981,BLD062,2026-04-15 20:00:00,Valve Stuck,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00166,EQ00545,BLD035,2026-07-19 00:00:00,Communication Loss,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00167,EQ00985,BLD063,2026-06-18 20:00:00,Low Pressure,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00168,EQ01111,BLD071,2026-03-05 15:00:00,Overcurrent,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00169,EQ01459,BLD093,2026-04-15 10:00:00,High Temperature,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00170,EQ01065,BLD068,2026-07-14 07:00:00,Low Pressure,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00171,EQ00479,BLD031,2026-03-16 23:00:00,Overcurrent,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00172,EQ00589,BLD038,2026-03-05 00:00:00,Communication Loss,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00173,EQ01129,BLD073,2026-06-25 02:00:00,Sensor Drift,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00174,EQ00216,BLD015,2026-05-13 19:00:00,Communication Loss,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00175,EQ01515,BLD096,2026-03-10 19:00:00,Low Pressure,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00176,EQ01525,BLD097,2026-06-05 21:00:00,Overcurrent,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00177,EQ00122,BLD008,2026-01-22 19:00:00,Low Pressure,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00178,EQ00027,BLD002,2026-04-14 19:00:00,High Temperature,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00179,EQ01597,BLD101,2026-07-15 04:00:00,High Temperature,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00180,EQ00644,BLD042,2026-06-20 18:00:00,Low Pressure,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00181,EQ00861,BLD056,2026-06-15 15:00:00,Low Flow,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00182,EQ00545,BLD035,2026-05-13 01:00:00,Communication Loss,Medium,No,No,SYNTHETIC_VN_REALISTIC
FLT00183,EQ01426,BLD091,2026-02-10 03:00:00,High Temperature,Medium,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00184,EQ00761,BLD049,2026-08-08 20:00:00,Valve Stuck,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00185,EQ00833,BLD054,2026-07-24 07:00:00,Valve Stuck,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00186,EQ00801,BLD052,2026-01-12 17:00:00,Abnormal Vibration,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00187,EQ01427,BLD091,2026-01-26 04:00:00,Sensor Drift,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00188,EQ00900,BLD058,2026-03-09 06:00:00,Overcurrent,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00189,EQ01354,BLD086,2026-04-23 16:00:00,Overcurrent,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00190,EQ01727,BLD110,2026-02-20 14:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00191,EQ00365,BLD024,2026-08-24 05:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00192,EQ00412,BLD027,2026-02-15 00:00:00,High Temperature,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00193,EQ00202,BLD014,2026-03-14 06:00:00,High Temperature,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00194,EQ01769,BLD112,2026-08-15 01:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00195,EQ00332,BLD022,2026-02-09 19:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00196,EQ00377,BLD025,2026-03-09 04:00:00,Overcurrent,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00197,EQ01514,BLD096,2026-02-23 18:00:00,Communication Loss,Medium,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00198,EQ00197,BLD014,2026-06-19 14:00:00,Sensor Drift,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00199,EQ00327,BLD021,2026-04-07 19:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00200,EQ01812,BLD114,2026-03-24 13:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00201,EQ01221,BLD079,2026-03-12 20:00:00,Valve Stuck,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00202,EQ01864,BLD117,2026-01-04 12:00:00,Low Flow,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00203,EQ01085,BLD069,2026-02-12 02:00:00,Valve Stuck,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00204,EQ00002,BLD001,2026-05-07 11:00:00,Sensor Drift,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00205,EQ01505,BLD096,2026-05-25 23:00:00,Low Flow,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00206,EQ01384,BLD088,2026-04-01 13:00:00,High Temperature,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00207,EQ01873,BLD118,2026-01-04 18:00:00,Sensor Drift,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00208,EQ01132,BLD073,2026-05-17 05:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
